Data extracted on 04/01/2026 16:03:46 from [ESTAT],,,,,,,,,,,,,,,,
Dataset: ,GERD by sector of performance [rd_e_gerdtot$defaultview],,,,,,,,,,,,,,,
Last updated: ,24/09/2024 23:00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,
Sector of performance,,All sectors,,,,,,,,,,,,,,
Unit of measure,,Euro per inhabitant,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TIME,2015,,2016,,2017,,2020,,2021,,2022,,2023,,2024,
GEO (Labels),,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),584.175,,598.429,e,632.912,,692.222,e,742.405,e,805.75,e,869.306,e,897.227,e
Belgium,900.414,,959.47,,"1,045.478",,"1,355.634",,"1,491.629",,"1,550.728",,"1,661.43",,"1,765.982",p
Bulgaria,61.857,,54.107,,56.75,,79.684,,84.067,,99.826,,116.371,,124.871,p
Czechia,308.423,,280.777,,324.548,,400.775,,453.125,,515.979,,537.506,,536.397,p
Denmark,"1,473.678",,"1,534.208",,"1,503.199",,"1,589.506",,"1,621.669",p,"1,866.229",,"1,934.231",,"1,983.35",p
Germany,"1,093.405",,"1,121.665",,"1,206.394",,"1,281.558",,"1,361.115",,"1,458.739",,"1,588.191",,"1,624.448",p
Estonia,230.304,,205.434,,231.31,,361.85,,414.236,,481.859,,514.091,,575.45,
Ireland,664.589,,671.796,,776.72,,857.543,,951.466,,"1,548.522",be,"1,536.507",,"1,449.178",p
Greece,156.918,,162.669,,189.301,,232.699,,247.779,,293.482,,323.135,,351.45,p
Spain,283.722,,285.66,,302.447,,333.234,,363.902,,406.95,,465.405,,490.458,p
France,736.696,,745.08,,756.08,,781.376,,819.431,,865.509,,900.476,,928.914,p
Croatia,89.647,,97.397,,103.834,,159.295,,186.276,,248.396,,280.952,,300.367,p
Italy,367.474,,385.143,b,396.12,,419.645,,438.774,,462.242,,498.319,,515.759,p
Cyprus,99.072,,114.4,,126.701,,204.741,,218.154,,222.653,,225.022,,232.728,p
Latvia,76.633,,56.07,,70.714,,115.911,,131.447,,156.311,,172.209,,199.074,
Lithuania,133.146,,113.142,,132.527,,201.022,,221.905,,253.112,,271.116,,285.994,p
Luxembourg,"1,204.353",,"1,235.751",,"1,220.146",,"1,129.332",e,"1,186.996",,"1,266.536",,"1,311.999",,"1,272.717",p
Hungary,153.928,,140.257,,171.763,,226.682,,262.251,,244.611,d,283.971,d,281.371,d
Malta,162.922,,130.554,,143.516,,167.436,,192.833,,201.782,,223.249,,206.988,
Netherlands,876.175,,897.279,,941.427,,"1,062.41",,"1,130.25",,"1,228.973",b,"1,358.94",,"1,431.087",p
Austria,"1,222.975",,"1,280.967",e,"1,286.898",,"1,370.513",e,"1,480.576",,"1,585.55",e,"1,691.897",,"1,761.339",p
Poland,113.576,,108.313,,127.302,,192.129,,222.608,,258.591,,318.182,,326.467,p
Portugal,214.944,,230.357,,249.901,,311.912,,347.228,,395.747,,431.797,,468.238,p
Romania,39.362,,41.418,,48.102,,53.086,,59.434,,68.469,,87.935,,85.182,p
Slovenia,413.533,,393.352,,388.35,,480.706,,527.502,,567.148,,644.612,,686.458,
Slovakia,171.041,,118.099,,137.794,,153.71,,168.202,,197.802,,235.765,,235.735,
Finland,"1,109.498",,"1,079.965",,"1,121.728",,"1,254.721",,"1,353.701",,"1,430.388",,"1,516.784",,"1,586.873",
Sweden,"1,504.258",,"1,537.035",e,"1,615.006",,"1,623.759",,"1,772.434",,"1,833.083",,"1,851.574",,"1,885.999",
,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,
Observation flags:,,,,,,,,,,,,,,,,
be,"break in time series, estimated",,,,,,,,,,,,,,,
b,break in time series,,,,,,,,,,,,,,,
d,definition differs (see metadata),,,,,,,,,,,,,,,
e,estimated,,,,,,,,,,,,,,,
p,provisional,,,,,,,,,,,,,,,
