Data extracted on 04/01/2026 16:02:56 from [ESTAT],,,,,,,,,,
Dataset: ,Business registration and bankruptcy index by NACE Rev.2 activity - annual data [sts_rb_a$defaultview],,,,,,,,,
Last updated: ,07/11/2024 11:00,,,,,,,,,
,,,,,,,,,,
Time frequency,,Annual,,,,,,,,
Business trend indicator,,Registrations,,,,,,,,
Statistical classification of economic activities in the European Community (NACE Rev. 2),,"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)",,,,,,,,
Seasonal adjustment,,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),,,,,,,,
Unit of measure,,"Index, 2021=100",,,,,,,,
,,,,,,,,,,
TIME,2020,,2021,,2022,,2023,,2024,
GEO (Labels),,,,,,,,,,
European Union - 27 countries (from 2020),87.7,i,100.0,,100.3,,103.6,,105.4,
Belgium,89.1,,100.0,,88.9,,84.2,,100.5,
Bulgaria,88.6,,100.0,,100.8,,102.6,,104.1,
Czechia,87.1,,100.0,,113.4,,113.6,,127.2,
Denmark,103.3,,100.0,,84.5,,83.2,,81.4,
Germany,98.0,,100.0,,98.8,,122.1,,107.0,
Estonia,88.0,,100.0,,82.7,,87.7,,92.4,
Ireland,91.0,,100.0,,91.6,,78.9,,103.1,
Greece,:,,100.0,,111.4,,119.0,,130.9,
Spain,77.9,,100.0,,98.7,,107.4,,117.6,
France,85.7,,100.0,,101.1,,100.1,u,105.8,
Croatia,81.3,,100.0,,109.8,,122.0,,127.8,
Italy,87.3,,100.0,,94.3,,95.6,,98.8,
Cyprus,:,,100.0,,110.8,,97.4,,98.9,
Latvia,97.5,,100.0,,96.0,,95.9,,103.5,
Lithuania,90.6,,100.0,e,95.9,e,104.6,e,105.7,e
Luxembourg,91.5,,100.0,,93.9,,101.8,p,99.3,e
Hungary,:,C,100.0,,99.2,,87.0,,83.0,
Malta,91.9,,100.0,,88.0,,85.5,,83.2,p
Netherlands,87.8,,100.0,,103.1,,108.6,,104.2,
Austria,87.7,p,100.0,,91.5,,91.0,,91.1,p
Poland,89.0,,100.0,,104.7,,102.6,,99.0,
Portugal,90.4,,100.0,,116.1,,123.8,,122.6,
Romania,76.0,,100.0,,113.3,,104.6,,94.2,
Slovenia,87.9,,100.0,,106.7,,110.3,,110.9,
Slovakia,94.8,,100.0,,84.0,,88.9,,103.6,
Finland,90.7,,100.0,,97.8,,100.8,,106.7,
Sweden,:,,100.0,,91.3,,83.5,,84.8,
,,,,,,,,,,
Special value,,,,,,,,,,
:,not available,,,,,,,,,
Observation flags:,,,,,,,,,,
e,estimated,,,,,,,,,
i,value imputed by Eurostat or other receiving agencies,,,,,,,,,
p,provisional,,,,,,,,,
u,low reliability,,,,,,,,,
Confidentiality flags:,,,,,,,,,,
C,confidential,,,,,,,,,
