Data extracted on 04/01/2026 16:05:39 from [ESTAT],,,,,,,,,,
Dataset: ,Households - level of internet access [isoc_ci_in_h$defaultview],,,,,,,,,
Last updated: ,17/12/2024 11:00,,,,,,,,,
,,,,,,,,,,
Time frequency,,Annual,,,,,,,,
Unit of measure,,Percentage of households,,,,,,,,
Type of household,,Total,,,,,,,,
,,,,,,,,,,
TIME,2020,,2021,,2022,,2023,,2024,
GEO (Labels),,,,,,,,,,
European Union - 27 countries (from 2020),91.30,e,92.30,b,92.44,,93.09,,94.19,
Belgium,90.86,,91.97,,94.44,,94.48,,94.62,
Bulgaria,78.85,,83.53,,87.31,,88.50,,92.12,
Czechia,88.02,,89.31,,91.48,,92.80,,94.56,
Denmark,95.27,,96.14,,95.16,,96.09,,96.92,
Germany,95.80,,91.88,b,91.41,,91.66,,92.65,
Estonia,89.98,,91.82,,92.41,,93.22,,92.89,
Ireland,91.82,,97.50,b,:,u,93.92,,92.97,
Greece,80.38,,85.07,,85.49,,86.90,,86.89,
Spain,95.38,,95.92,,96.08,,96.45,,96.83,
France,:,,93.33,,92.25,,93.34,,94.44,
Croatia,85.00,,86.09,,85.52,,89.56,,88.37,
Italy,88.10,,90.49,,91.45,,91.89,,93.41,
Cyprus,92.78,,93.41,,94.00,,92.30,,94.92,
Latvia,89.73,,91.15,,91.39,,93.07,,94.33,
Lithuania,82.13,,86.55,,87.71,,88.59,,90.38,
Luxembourg,93.57,,99.18,,97.64,,99.06,,98.84,
Hungary,87.63,,90.78,,91.44,,92.73,,94.78,
Malta,90.36,,90.54,,93.39,,93.54,,95.58,
Netherlands,96.95,,98.56,,98.28,,98.86,,99.04,
Austria,90.40,,95.00,,93.15,,94.98,,94.96,
Poland,90.38,,92.42,,93.33,,93.30,,95.89,
Portugal,84.49,,87.34,,88.15,,89.01,,90.60,
Romania,86.24,,88.74,,89.41,,92.00,,94.57,
Slovenia,89.97,,93.04,,92.60,,93.72,,94.13,
Slovakia,85.78,,89.96,,90.65,,90.60,,90.54,
Finland,96.00,,96.56,,97.59,,96.78,,97.35,
Sweden,93.94,,93.23,,94.33,,94.87,,95.43,
,,,,,,,,,,
Special value,,,,,,,,,,
:,not available,,,,,,,,,
Observation flags:,,,,,,,,,,
b,break in time series,,,,,,,,,
e,estimated,,,,,,,,,
u,low reliability,,,,,,,,,
